id;area;master_area
10505008;FISICA ATOMICA E MOLECULAR;10500006
10505016;ESTRUTURA ELETRONICA DE ATOMOS E MOLECULAS TEORIA;10500006
10505024;ESPECTROS ATOMICOS E INTEGRACAO DE FOTONS;10500006
10505032;ESPECTROS MOLECUL. E INTERACOES DE FOTONS COM MOLECULAS;10500006
10505040;PROCESSOS DE COLISAO E INTERACOES DE ATOMOS E MOLECULAS;10500006
10505059;INF.SOB.ATOM.E MOL.OBIT.EXPERIMENTALMENTE INST.E TECNICAS;10500006
10505067;ESTUDOS DE ATOMOS E MOLECULAS ESPECIAIS;10500006
10506004;FISICA DOS FLUIDOS FISICA DE PLASMAS E DESCARGAS ELETRICAS;10500006
10506012;CINETICA E TEOR.DE TRANSP.DE FLUIDOS PROPRIED.FIS.DE GASES;10500006
10506020;FISICA DE PLASMAS E DESCARGAS ELETRICAS;10500006
10507000;FISICA DA MATERIA CONDENSADA;10500006
10507019;ESTRUTURA DE LIQUIDOS E SOLIDOS CRISTALOGRAFIA;10500006
10507027;PROPRIEDADES MECANICAS E ACUSTICAS DA MATERIA CONDENSADA;10500006
10507035;DINAMICA DA REDE E ESTATISTICA DE CRISTAIS;10500006
10507043;EQUACAO DE ESTADO EQUILIB. DE FASES E TRANSICOES DE FASES;10500006
10507051;PROPRIEDADES TERMICAS DA MATERIA CONDENSADA;10500006
10507060;PROPRIEDADES DE TRANSP.DE MATERIA COND. (NAO ELETRONICAS);10500006
10507078;CAMPOS QUANTICOS E SOLIDOS HELIO LIQUIDO SOLIDO;10500006
10507086;SUPERFICIES E INTERFACES PELICULAS E FILAMENTOS;10500006
10507094;ESTADOS ELETRONICOS;10500006
10507108;TRANSP.ELETR.E PROPR.ELET.DE SUPERFICIES INTERF.E PELICULAS;10500006
10507116;ESTRUT.ELETR.E PROPR.ELET.DE SUPERFICIES INTERF.E PELICULAS;10500006
10507124;SUPERCONDUTIVIDADE;10500006
10507132;MATERIAIS MAGNETICOS E PROPRIEDADES MAGNETICAS;10500006
10507140;RESS.MAGN. REL.MAT.COND. EFEIT.MOSBAUER CORR.ANG.PERTUBADA;10500006
10507159;MATERIAIS DIELETRICOS E PROPRIEDADES DIELETRICAS;10500006
10507167;PROP.OTIC.E ESPEC.MATR.COND. OUTRAS INTER.MAT.COM RAD.PART.;10500006
10507175;EMISSAO ELETRON.E IONICA POR LIQ.E SOLIDOS FENOM.DE IMPACTO;10500006
10600000;QUIMICA;10000003
